repo,purpose,owner,last commit,deploy target,branch,production-readiness (1–5),notes
mind-reply-core,canonical product monorepo,A.K.,2026-08-05,Vercel + Docker/SSH,main,4,"Strongest candidate; split deploy paths and app-tree mismatch remain"
angellllkr-eng,estate documentation/index,A.K.,2026-08-05,None observed,main,2,"Keep as public documentation only; not product runtime"
nexus-core,owner-only control plane,A.K.,2026-07-30,Vercel preview,main,2,"Restricted support infrastructure; not customer-facing"
agent-control-plane,legacy control plane,A.K.,2026-08-04,Vercel preview,main,1,"Archived; 42 open issues; no production role"
a11k-surface,migration source for A11-K surface,A.K.,2026-08-04,Vercel preview,main,2,"README claims merged; verify canonical tree before archive"
forge,experimental business creation engine,A.K.,2026-07-30,None observed,main,1,"Planned modules, not production-ready"
brushworks,design-to-code experiment,A.K.,2026-07-30,Vercel preview,main,1,"Separate experiment; integrate selectively only"
pointer-ai-landing-page,marketing experiment,A.K.,2026-08-04,Vercel preview,main,2,"Marketing-only; migrate approved copy/assets, then disconnect"
own,WhatsApp AI router experiment,A.K.,2026-08-03,Vercel preview,main,1,"Disconnected integration experiment"
EPHEMERAL,temporary experiment,A.K.,2026-08-04,Vercel preview,main,1,"Tiny temporary surface; archive"
linear-card-interaction,archived UI experiment,A.K.,2026-08-01,None,main,1,"Archived; no production role"
chatbot,legacy chatbot app,A.K.,2026-07-30,Vercel preview,main,1,"Archived legacy app"
chatbot1,legacy chatbot variant,A.K.,2026-07-29,None,main,1,"Archived legacy app"
source1,empty placeholder,A.K.,2026-08-04,None,main,1,"No product evidence"
source2,empty placeholder,A.K.,2026-08-04,None,main,1,"No product evidence"
